# RamanPL_2D export
# schema_version: "0.3.8"
# export_kind: "mapping_table"
# map_kind: "integration"
# spectrum_type: "Raman"
# x_quantity: "Raman shift"
# x_unit: "cm^-1"
# coord_mode: "real"
# step_size: 0.5
# step_unit: "um"
# integration_range: [340, 430]
# baseline_spec: {"method": "poly", "poly_order": 2}
# background_remove: false
# 
x	y	integration_area
0.0	0.0	877.6387701933404
0.5	0.0	930.1494220514243
1.0	0.0	1136.8592075777594
1.5	0.0	1634.4193918157587
2.0	0.0	2234.5074689172525
2.5	0.0	2713.755672741404
3.0	0.0	3471.3913419037417
3.5	0.0	4056.4765467727693
4.0	0.0	3668.0774240734954
4.5	0.0	3274.6783356708056
5.0	0.0	2897.944331677836
5.5	0.0	2671.246017322275
6.0	0.0	2445.38683025855
6.5	0.0	1773.6191305946777
7.0	0.0	1422.7220449038825
7.5	0.0	1201.0329264615245
8.0	0.0	909.3071531069792
8.5	0.0	866.8017006444569
9.0	0.0	860.9702906296313
0.0	0.5	873.457001589053
0.5	0.5	1176.03453355367
1.0	0.5	1943.6242289953968
1.5	0.5	4729.026222131014
2.0	0.5	6742.672233216899
2.5	0.5	8250.413347921098
3.0	0.5	11147.513610156682
3.5	0.5	11778.450719113831
4.0	0.5	10080.768172084336
4.5	0.5	7939.580649078893
5.0	0.5	7565.34392319302
5.5	0.5	6571.023031005179
6.0	0.5	5326.668499538146
6.5	0.5	3784.7579088363177
7.0	0.5	2803.777148007823
7.5	0.5	1981.989906210942
8.0	0.5	1396.889173353943
8.5	0.5	1092.6763358220587
9.0	0.5	702.6136230230181
0.0	1.0	1198.510803289345
0.5	1.0	1941.964554647776
1.0	1.0	5315.78555058474
1.5	1.0	21630.74162034324
2.0	1.0	39660.231222270464
2.5	1.0	48053.95666380469
3.0	1.0	60039.0108559393
3.5	1.0	59891.62292534056
4.0	1.0	49831.91988522113
4.5	1.0	49485.95308880958
5.0	1.0	46433.81320335701
5.5	1.0	32912.557586390074
6.0	1.0	19552.963324868353
6.5	1.0	9332.269605791429
7.0	1.0	6279.278509295962
7.5	1.0	3578.9097745508902
8.0	1.0	1949.4938224972566
8.5	1.0	1415.2233079362122
9.0	1.0	927.6439797057363
0.0	1.5	1383.5415710466787
0.5	1.5	3881.4297937863194
1.0	1.5	20564.727996212074
1.5	1.5	51847.76251229777
2.0	1.5	59505.69732600857
2.5	1.5	60457.32949799225
3.0	1.5	61770.13217505071
3.5	1.5	52136.29171576774
4.0	1.5	47865.627427861575
4.5	1.5	53258.90396013456
5.0	1.5	58978.13889651337
5.5	1.5	61236.00503086923
6.0	1.5	59354.16280184519
6.5	1.5	48752.432505375706
7.0	1.5	29513.600896697073
7.5	1.5	8956.35152423011
8.0	1.5	2658.769308792806
8.5	1.5	1470.2533012060157
9.0	1.5	1001.8193421668877
0.0	2.0	2290.3437029368692
0.5	2.0	8037.831644269982
1.0	2.0	40296.10820050992
1.5	2.0	43975.06627253994
2.0	2.0	46546.280040959704
2.5	2.0	49487.52592277325
3.0	2.0	50120.92047005398
3.5	2.0	31389.134820215426
4.0	2.0	22993.667175889324
4.5	2.0	25512.331914239643
5.0	2.0	38961.95153113763
5.5	2.0	56665.31547842406
6.0	2.0	60370.764801645135
6.5	2.0	59656.51823869812
7.0	2.0	52161.12582807835
7.5	2.0	20470.65990581821
8.0	2.0	3944.7919028971683
8.5	2.0	1627.7796761064187
9.0	2.0	1281.8655691622425
0.0	2.5	4197.273662838119
0.5	2.5	31328.91664337597
1.0	2.5	39443.57494544986
1.5	2.5	30346.50551345819
2.0	2.5	33009.40994460655
2.5	2.5	33016.85977687243
3.0	2.5	32234.205903031172
3.5	2.5	24723.937515034504
4.0	2.5	15380.779337194654
4.5	2.5	20652.48051128682
5.0	2.5	33021.84757832891
5.5	2.5	36561.51551490747
6.0	2.5	40283.74546284819
6.5	2.5	44450.98262007522
7.0	2.5	46541.29096424753
7.5	2.5	32889.27127510648
8.0	2.5	8421.351506558844
8.5	2.5	2374.5508140797588
9.0	2.5	1503.5762392437969
0.0	3.0	6066.724094026827
0.5	3.0	30615.406765627005
1.0	3.0	46057.09886730173
1.5	3.0	34483.8139681827
2.0	3.0	31359.27085694579
2.5	3.0	28621.243099603813
3.0	3.0	27302.719672754294
3.5	3.0	22455.318983238114
4.0	3.0	12784.56989742344
4.5	3.0	18719.72953707766
5.0	3.0	25809.94458908942
5.5	3.0	28015.320531630612
6.0	3.0	31791.68539466799
6.5	3.0	30152.32496378809
7.0	3.0	29625.542556849497
7.5	3.0	32593.458558345395
8.0	3.0	14492.30701706132
8.5	3.0	3724.7890900486263
9.0	3.0	1583.5833871257278
0.0	3.5	11901.794273148502
0.5	3.5	47223.73091402581
1.0	3.5	57270.373029118906
1.5	3.5	36490.781764126266
2.0	3.5	26605.980830068514
2.5	3.5	25984.167178172254
3.0	3.5	23846.381594468712
3.5	3.5	17754.64313254458
4.0	3.5	14409.141594976152
4.5	3.5	16818.678577858504
5.0	3.5	22812.05596360843
5.5	3.5	25888.377896216665
6.0	3.5	27646.925258265845
6.5	3.5	29729.74537211172
7.0	3.5	31035.745842664197
7.5	3.5	45118.58105072452
8.0	3.5	33028.530724137636
8.5	3.5	6044.303706078694
9.0	3.5	1573.6074183389492
0.0	4.0	19631.307454347232
0.5	4.0	55835.17110690554
1.0	4.0	62126.044892053585
1.5	4.0	44668.687757530875
2.0	4.0	29748.934300909354
2.5	4.0	25224.031416281716
3.0	4.0	19870.858549328743
3.5	4.0	18528.29630335361
4.0	4.0	17909.899024858805
4.5	4.0	19562.72023368226
5.0	4.0	23147.23979939423
5.5	4.0	24809.872672034737
6.0	4.0	26030.842924544682
6.5	4.0	31290.737254548345
7.0	4.0	42356.38477327042
7.5	4.0	56198.43991285807
8.0	4.0	45362.82884146497
8.5	4.0	10284.972944787427
9.0	4.0	1545.2646117423144
0.0	4.5	13807.072607555405
0.5	4.5	54683.271298841326
1.0	4.5	60399.0702179562
1.5	4.5	39311.285711639575
2.0	4.5	26393.450689105386
2.5	4.5	17790.492912865993
3.0	4.5	14437.425002345934
3.5	4.5	16361.994489253138
4.0	4.5	18555.70646334861
4.5	4.5	17561.461708108138
5.0	4.5	17445.48111068039
5.5	4.5	22877.937785690403
6.0	4.5	27693.62912861898
6.5	4.5	36919.92464682245
7.0	4.5	56695.97037494162
7.5	4.5	57441.96133795009
8.0	4.5	33219.975225623784
8.5	4.5	5300.006278923685
9.0	4.5	1437.738581888701
0.0	5.0	7320.249135211696
0.5	5.0	44311.75502565221
1.0	5.0	62184.42642603542
1.5	5.0	38701.10429048711
2.0	5.0	18362.93340898268
2.5	5.0	13770.48817243729
3.0	5.0	15098.3793484783
3.5	5.0	17820.579335235478
4.0	5.0	19812.662507443525
4.5	5.0	16386.145586905084
5.0	5.0	12632.07158680839
5.5	5.0	18443.908493770592
6.0	5.0	27854.497059888286
6.5	5.0	47010.42915475422
7.0	5.0	59673.15969935339
7.5	5.0	53503.0413077894
8.0	5.0	21250.757754213362
8.5	5.0	3071.3171984593027
9.0	5.0	1217.6743221042461
0.0	5.5	4991.612668344067
0.5	5.5	23142.684946943285
1.0	5.5	59329.04549276936
1.5	5.5	48563.30147225879
2.0	5.5	28644.63418045284
2.5	5.5	27645.390320201244
3.0	5.5	25859.181417372536
3.5	5.5	24129.741552774984
4.0	5.5	23937.172092165656
4.5	5.5	22513.568983006364
5.0	5.5	21160.153610731915
5.5	5.5	16377.611053027202
6.0	5.5	22827.72009912134
6.5	5.5	41913.90871171949
7.0	5.5	55235.050890944345
7.5	5.5	37526.58543068616
8.0	5.5	6756.055598580254
8.5	5.5	1749.445976883762
9.0	5.5	968.4943394624404
0.0	6.0	3142.175180220591
0.5	6.0	7917.041928700743
1.0	6.0	48733.26933381766
1.5	6.0	58758.05156446334
2.0	6.0	46538.10910888852
2.5	6.0	41132.28902231982
3.0	6.0	28898.00447957369
3.5	6.0	25609.230281529446
4.0	6.0	26055.039981360704
4.5	6.0	26550.0973664844
5.0	6.0	26475.841904918918
5.5	6.0	26488.454956992002
6.0	6.0	36089.71590614674
6.5	6.0	54376.58782631511
7.0	6.0	43714.980054138156
7.5	6.0	9686.497239512277
8.0	6.0	2499.5518518191675
8.5	6.0	1203.5154320690856
9.0	6.0	807.6212368829117
0.0	6.5	1829.440606963619
0.5	6.5	4299.003269066507
1.0	6.5	25157.88845662428
1.5	6.5	57862.12406834537
2.0	6.5	60476.754537737455
2.5	6.5	52281.390335761214
3.0	6.5	34420.47658074269
3.5	6.5	30313.208876125973
4.0	6.5	28113.693227968717
4.5	6.5	29536.32834706534
5.0	6.5	39721.07636312217
5.5	6.5	55170.869772573365
6.0	6.5	59348.269917621896
6.5	6.5	49151.79387829647
7.0	6.5	12598.582520702168
7.5	6.5	3368.0367751098
8.0	6.5	1451.0577446710254
8.5	6.5	995.1712932539135
9.0	6.5	748.4501112844142
0.0	7.0	1357.7015710235253
0.5	7.0	2401.193975757153
1.0	7.0	6765.178976720671
1.5	7.0	36936.5059244881
2.0	7.0	57447.96043403415
2.5	7.0	60555.920334816095
3.0	7.0	41935.76281111335
3.5	7.0	31112.5057899718
4.0	7.0	31788.382087128295
4.5	7.0	37851.739998124875
5.0	7.0	57457.800742995925
5.5	7.0	63222.12511548498
6.0	7.0	52746.485338457416
6.5	7.0	16685.092325613943
7.0	7.0	4093.162339428262
7.5	7.0	1590.2414317688915
8.0	7.0	1032.6735641738828
8.5	7.0	865.9684761929475
9.0	7.0	772.6216747857072
0.0	7.5	938.4916808553384
0.5	7.5	1470.2349186834474
1.0	7.5	3543.8576077176085
1.5	7.5	8182.899093826769
2.0	7.5	42920.75803959572
2.5	7.5	58241.15504075575
3.0	7.5	52437.941351600246
3.5	7.5	36255.731821866764
4.0	7.5	35547.226569085455
4.5	7.5	52909.60435932518
5.0	7.5	64067.123226003
5.5	7.5	56637.82644361556
6.0	7.5	15555.739206066663
6.5	7.5	4479.859687253384
7.0	7.5	1941.9618855604188
7.5	7.5	960.1635772029493
8.0	7.5	907.6463216648062
8.5	7.5	786.7876683948367
9.0	7.5	760.9444817213924
0.0	8.0	686.7666298981412
0.5	8.0	969.3180560910399
1.0	8.0	1868.6215636808424
1.5	8.0	4346.508045103934
2.0	8.0	13599.479141402142
2.5	8.0	36672.92561404717
3.0	8.0	41202.94289539126
3.5	8.0	39728.51878485542
4.0	8.0	46172.79266809419
4.5	8.0	55680.10120131649
5.0	8.0	57143.674938474316
5.5	8.0	18648.694584170622
6.0	8.0	4625.737527941528
6.5	8.0	2006.137531154885
7.0	8.0	1086.0170766529518
7.5	8.0	848.4686758565489
8.0	8.0	814.2948027036803
8.5	8.0	752.6098999909393
9.0	8.0	710.1165361001958
0.0	8.5	709.2819080926595
0.5	8.5	900.9786085861924
1.0	8.5	1168.5086760272181
1.5	8.5	2085.3121181901242
2.0	8.5	3591.394154335601
2.5	8.5	5383.302935668477
3.0	8.5	6099.228250190279
3.5	8.5	6627.6695102841195
4.0	8.5	7923.718076371246
4.5	8.5	10218.194662294489
5.0	8.5	7758.660111638309
5.5	8.5	4240.647025005839
6.0	8.5	1938.6422198660766
6.5	8.5	1050.9976583638495
7.0	8.5	894.3035304876869
7.5	8.5	772.6246272108209
8.0	8.5	754.2819290422083
8.5	8.5	775.1214915631502
9.0	8.5	733.4304726235815
0.0	9.0	676.7626024689064
0.5	9.0	743.4565577822068
1.0	9.0	860.1212773198528
1.5	9.0	1181.0207249590308
2.0	9.0	1761.083801179559
2.5	9.0	2618.725010164661
3.0	9.0	3140.451165724182
3.5	9.0	3364.680243909819
4.0	9.0	3962.257907564469
4.5	9.0	3786.3850503622016
5.0	9.0	3016.287918423713
5.5	9.0	1700.259620546942
6.0	9.0	1055.1584541788327
6.5	9.0	790.1204863524614
7.0	9.0	740.1174952093005
7.5	9.0	705.1169582080145
8.0	9.0	705.1091402801445
8.5	9.0	655.089237667667
9.0	9.0	685.9402461119638
