x	intensity
1.790699219000000085e+03	7.842265312500001073e+01
1.789126952999999958e+03	8.797026012500001002e+01
1.787556640999999900e+03	7.363171412500000201e+01
1.785984375000000000e+03	6.884267412500000205e+01
1.784412109000000100e+03	7.995870212500000207e+01
1.782839844000000085e+03	7.835028812500000583e+01
1.781267577999999958e+03	7.038378112499999872e+01
1.779695312999999942e+03	7.672471612500000049e+01
1.778121094000000085e+03	7.352883112500001062e+01
1.776548827999999958e+03	7.033422112499999912e+01
1.774974609000000100e+03	9.573225412500001141e+01
1.773400390999999900e+03	7.982971212500000036e+01
1.771826172000000042e+03	6.393351712500000161e+01
1.770250000000000000e+03	7.344299312500000099e+01
1.768675780999999915e+03	6.866439012500001127e+01
1.767099609000000100e+03	8.292954212500001177e+01
1.765523437999999942e+03	7.973744212500000117e+01
1.763947265999999900e+03	7.337424512500000162e+01
1.762371094000000085e+03	6.067012812499999797e+01
1.760794922000000042e+03	6.699765812500000095e+01
1.759216797000000042e+03	7.332263912500000913e+01
1.757640625000000000e+03	6.538088212499999941e+01
1.756062500000000000e+03	7.011903412499999888e+01
1.754484375000000000e+03	7.010245512500000586e+01
1.752906250000000000e+03	7.958959212500001001e+01
1.751328125000000000e+03	7.323655712500000448e+01
1.749748047000000042e+03	7.321933012499999904e+01
1.748169922000000042e+03	6.370412412499999988e+01
1.746589844000000085e+03	7.793289212500000929e+01
1.745009765999999900e+03	7.474997712500000091e+01
1.743429687999999942e+03	7.315038312500000472e+01
1.741849609000000100e+03	6.680625912500001107e+01
1.740267577999999958e+03	6.520889312500000301e+01
1.738687500000000000e+03	5.728784212500000450e+01
1.737105469000000085e+03	5.885453812499999771e+01
1.735523437999999942e+03	7.306411012499999913e+01
1.733941405999999915e+03	7.620709212500000262e+01
1.732359375000000000e+03	7.302957912500001214e+01
1.730775390999999900e+03	5.405854012500000039e+01
1.729193359000000100e+03	6.509922812500001044e+01
1.727609375000000000e+03	6.034703012499999630e+01
1.726025390999999900e+03	7.769603712500000370e+01
1.724441405999999915e+03	7.767778812500000640e+01
1.722857422000000042e+03	7.450378412500000991e+01
1.721273437999999942e+03	7.290860712500000318e+01
1.719687500000000000e+03	7.604579112500000804e+01
1.718101562999999942e+03	7.602785512500000209e+01
1.716515625000000000e+03	6.812691512500001068e+01
1.714929687999999942e+03	7.126312212500000953e+01
1.713343750000000000e+03	6.651826512499999922e+01
1.711757812999999942e+03	7.122914912500000639e+01
1.710169922000000042e+03	4.758239712499999996e+01
1.708583984000000100e+03	6.962015512500001080e+01
1.706996094000000085e+03	6.960347712500001194e+01
1.705408202999999958e+03	6.643808012499999904e+01
1.703818359000000100e+03	6.799607112500000028e+01
1.702230469000000085e+03	6.797970612500000698e+01
1.700642577999999958e+03	7.740367912500001069e+01
1.699052734000000100e+03	7.738538312500000416e+01
1.697462890999999900e+03	6.321232612499999703e+01
1.695873047000000042e+03	6.791420012500000780e+01
1.694283202999999958e+03	6.789781212500000152e+01
1.692691405999999915e+03	6.002249912500000306e+01
1.691101562999999942e+03	6.315064212499999741e+01
1.689509765999999900e+03	6.470636012500000334e+01
1.687917969000000085e+03	7.254471612500000788e+01
1.686326172000000042e+03	8.037985212499999932e+01
1.684734375000000000e+03	6.779945412500001112e+01
1.683142577999999958e+03	6.150361612500000064e+01
1.681548827999999958e+03	7.090570812500000386e+01
1.679957030999999915e+03	5.362731212499999600e+01
1.678363280999999915e+03	4.106266412499999774e+01
1.676769530999999915e+03	6.301169612499999317e+01
1.675173827999999958e+03	6.456449112500000354e+01
1.673580077999999958e+03	7.709212512500000969e+01
1.671986327999999958e+03	5.669491612499999889e+01
1.670390625000000000e+03	6.138259112499999759e+01
1.668794922000000042e+03	6.920224712499999953e+01
1.667199219000000085e+03	5.665239712500000024e+01
1.665603515999999900e+03	5.820453612499999707e+01
1.664005859000000100e+03	5.505804412500000211e+01
1.662410155999999915e+03	7.070088912500000333e+01
1.660812500000000000e+03	5.972637212500000459e+01
1.659214844000000085e+03	5.658148212500000085e+01
1.657617187999999942e+03	6.752021812499999953e+01
1.656019530999999915e+03	5.968186912499999863e+01
1.654421875000000000e+03	6.592326312500000540e+01
1.652822265999999900e+03	5.808845512500000297e+01
1.651222655999999915e+03	5.963734412499999138e+01
1.649623047000000042e+03	7.994267312499999889e+01
1.648023437999999942e+03	6.429595212499999946e+01
1.646423827999999958e+03	6.115525012500000201e+01
1.644824219000000085e+03	6.582643912500000738e+01
1.643222655999999915e+03	5.800129712500000068e+01
1.641621094000000085e+03	5.642529312500000316e+01
1.640021484000000100e+03	5.484992212499999908e+01
1.638417969000000085e+03	6.732267012500000192e+01
1.636816405999999915e+03	5.638264412499999167e+01
1.635214844000000085e+03	6.260916112499999286e+01
1.633611327999999958e+03	6.103379012500000300e+01
1.632007812999999942e+03	6.881628412500000991e+01
1.630406250000000000e+03	5.788497912499999387e+01
1.628800780999999915e+03	7.190044412500000703e+01
1.627197265999999900e+03	6.876584612500001015e+01
1.625593750000000000e+03	7.030727412500000639e+01
1.623988280999999915e+03	5.938468912500000130e+01
1.622382812999999942e+03	7.183058112500000902e+01
1.620777344000000085e+03	6.246947512499999533e+01
1.619171875000000000e+03	7.023868512500000350e+01
1.617566405999999915e+03	6.243840812500000226e+01
1.615960937999999942e+03	6.086656912499999095e+01
1.614353515999999900e+03	6.396331012499999957e+01
1.612746094000000085e+03	7.639269212500001061e+01
1.611138672000000042e+03	6.082092312500000020e+01
1.609531250000000000e+03	6.858074212500000044e+01
1.607923827999999958e+03	6.545452912500000764e+01
1.606314452999999958e+03	5.455781512499999764e+01
1.604707030999999915e+03	4.677370812499999886e+01
1.603097655999999915e+03	7.628192112500001087e+01
1.601488280999999915e+03	7.781684112500001049e+01
1.599878905999999915e+03	6.071434812499999367e+01
1.598267577999999958e+03	7.777925112500000182e+01
1.596658202999999958e+03	5.602663412499999396e+01
1.595046875000000000e+03	6.222073312500000242e+01
1.593435547000000042e+03	6.996400412500000243e+01
1.591824219000000085e+03	6.218960612500000451e+01
1.590212890999999900e+03	5.752068312499999791e+01
1.588599609000000100e+03	5.285370612499999510e+01
1.586988280999999915e+03	5.284008812500000118e+01
1.585375000000000000e+03	6.057718612500000432e+01
1.583761719000000085e+03	7.606015012500000694e+01
1.582148437999999942e+03	6.984367412500000682e+01
1.580535155999999915e+03	6.517895512500000166e+01
1.578921875000000000e+03	6.361388412499999134e+01
1.577306640999999900e+03	7.134059112500000310e+01
1.575691405999999915e+03	5.738928212500000114e+01
1.574076172000000042e+03	7.130553412500000832e+01
1.572460937999999942e+03	5.426496112499999214e+01
1.570845702999999958e+03	5.425099912499999988e+01
1.569228515999999900e+03	5.733083312499999096e+01
1.567613280999999915e+03	5.267649812500000195e+01
1.565996094000000085e+03	6.348661012499999146e+01
1.564378905999999915e+03	4.955736112499999990e+01
1.562761719000000085e+03	5.108996912499999610e+01
1.561142577999999958e+03	6.498413112500000466e+01
1.559525390999999900e+03	6.496788012500000775e+01
1.557906250000000000e+03	5.877313212499999651e+01
1.556287109000000100e+03	7.111258712500000456e+01
1.554667969000000085e+03	7.263901512500000024e+01
1.553048827999999958e+03	8.033938612500000431e+01
1.551429687999999942e+03	8.031988512499999899e+01
1.549808594000000085e+03	8.338637512500000071e+01
1.548187500000000000e+03	5.868341012500000176e+01
1.546568359000000100e+03	5.404140512500000426e+01
1.544947265999999900e+03	6.944767012500000192e+01
1.543324219000000085e+03	7.097213712500000327e+01
1.541703125000000000e+03	6.016494712500000475e+01
1.540080077999999958e+03	6.631385812500001009e+01
1.538457030999999915e+03	6.783799012500000458e+01
1.536835937999999942e+03	6.936147312500000339e+01
1.535210937999999942e+03	6.010379012499999618e+01
1.533587890999999900e+03	5.546925312500000160e+01
1.531964844000000085e+03	5.391551212499999934e+01
1.530339844000000085e+03	5.236241912499999529e+01
1.528714844000000085e+03	6.773646512500000938e+01
1.527089844000000085e+03	5.695041612499999673e+01
1.525464844000000085e+03	6.001200812500000126e+01
1.523839844000000085e+03	4.923214712499999735e+01
1.522212890999999900e+03	5.690647112500000304e+01
1.520585937999999942e+03	5.689182312499999483e+01
1.518958984000000100e+03	6.148762512500000099e+01
1.517332030999999915e+03	5.993550112499999472e+01
1.515705077999999958e+03	6.452869412500000124e+01
1.514078125000000000e+03	6.144072712500000222e+01
1.512449219000000085e+03	4.299890512500000028e+01
1.510820312999999942e+03	5.987426712499999581e+01
1.509191405999999915e+03	5.985895512500000137e+01
1.507562500000000000e+03	6.444725812500000472e+01
1.505933594000000085e+03	6.749938912500000754e+01
1.504302734000000100e+03	5.214358512499999421e+01
1.502673827999999958e+03	5.826414512499999176e+01
1.501042969000000085e+03	4.291680512499999622e+01
1.499412109000000100e+03	7.049742912500001069e+01
1.497781250000000000e+03	5.208883612499999316e+01
1.496148437999999942e+03	7.046223412500000904e+01
1.494517577999999958e+03	6.738076812500000301e+01
1.492884765999999900e+03	6.430060612500000161e+01
1.491251952999999958e+03	5.050279612499999615e+01
1.489619140999999900e+03	5.661324312500000389e+01
1.487986327999999958e+03	7.037421412500000883e+01
