# RamanPL_2D export
# spectrum_type: Raman
# x_quantity: Raman shift
# x_unit: cm^-1
# materials: ['WS2']
# substrate: Si
# background_remove: True
# baseline_method: arPLS
# poly_degree: 3
# gaussian_sigma: 50
# smoothing: False
# smooth_window: 11
# smooth_order: 3
# normalize: False
# peak_labels: ['E12g', 'A1g', 'LA(M)', '2LA(M)', 'A1g(M)-LA(M)', '2LA(M)-2E22g', '2LA(M)-E22g', 'A1g(M)+LA(M)', '4LA(M)', 'B1/u', '3LA(K)', 'Si']
# peak_intensity: [np.float64(427.54123196369505), np.float64(1216.2424678990478), np.float64(4517.579200723515)]
# fitter_class: RamanFit
# n_spectra: 3
# table_kind: summary_by_peak
# 
index,peak,position_count,position_mean,position_std,position_min,position_median,position_max,fwhm_count,fwhm_mean,fwhm_std,fwhm_min,fwhm_median,fwhm_max,intensity_count,intensity_mean,intensity_std,intensity_min,intensity_median,intensity_max,fwhm_q05,fwhm_q25,fwhm_q50,fwhm_q75,fwhm_q95,intensity_q05,intensity_q25,intensity_q50,intensity_q75,intensity_q95,position_q05,position_q25,position_q50,position_q75,position_q95
0,E12g,3,355.485,1.21688,354.685,354.884,356.885,3,5.74592,2.22226,3.18229,6.93125,7.12423,3,1331.69,1513.32,20.2796,987.257,2987.55,3.55719,5.05677,6.93125,7.02774,7.10493,116.977,503.768,987.257,1987.4,2787.52,354.705,354.784,354.884,355.884,356.685
1,A1g,3,421.487,2.19215,419.969,420.491,424,3,5.95584,3.56092,3.27492,4.59636,9.99623,3,545.391,724.634,4.53265e-29,268.536,1367.64,3.40706,3.93564,4.59636,7.2963,9.45625,26.8536,134.268,268.536,818.087,1257.73,420.021,420.23,420.491,422.246,423.649
2,LA(M),3,174.949,0.523666,174.495,174.83,175.522,3,18.2384,3.05114,14.7153,20,20,3,120.263,148.74,3.78445,69.194,287.81,15.2437,17.3576,20,20,20,10.3254,36.4892,69.194,178.502,265.948,174.528,174.663,174.83,175.176,175.453
3,2LA(M),3,348.833,0.764334,348.136,348.714,349.65,3,8.03445,3.40443,4.10335,10,10,3,1179.33,1499.9,29.7816,632.24,2875.98,4.69302,7.05168,10,10,10,90.0274,331.011,632.24,1754.11,2651.61,348.194,348.425,348.714,349.182,349.557
4,A1g(M)-LA(M),3,232.85,1.89134,231.423,232.131,234.995,3,15.1626,8.37856,5.48791,20,20,3,74.301,95.1582,3.63492,36.7656,182.502,6.93912,12.744,20,20,20,6.94799,20.2002,36.7656,109.634,167.929,231.493,231.777,232.131,233.563,234.708
5,2LA(M)-2E22g,3,298.188,2.39466,296.465,297.177,300.922,3,4.76603,5.60195,0.0624113,3.27222,10.9635,3,1370.51,2095.95,90.6034,231.599,3789.34,0.383392,1.66731,3.27222,7.11784,10.1943,104.703,161.101,231.599,2010.47,3433.56,296.536,296.821,297.177,299.05,300.548
6,2LA(M)-E22g,3,323.193,3.21177,319.488,324.895,325.195,3,19.9859,0.0244603,19.9576,20,20,3,327.354,402.557,5.98051,197.195,778.887,19.9619,19.9788,20,20,20,25.102,101.588,197.195,488.041,720.718,320.029,322.192,324.895,325.045,325.165
7,A1g(M)+LA(M),3,585.505,1.3797,584.281,585.233,587,3,11.0499,7.76901,6.04118,7.10905,19.9996,3,111.117,135.611,1.29713,69.3577,262.696,6.14796,6.57511,7.10905,13.5543,18.7106,8.10319,35.3274,69.3577,166.027,243.362,584.376,584.757,585.233,586.117,586.823
8,4LA(M),3,703.2,5.93488,699.064,700.535,710,3,20,0,20,20,20,3,86.8394,107.129,3.34804,49.5378,207.632,20,20,20,20,20,7.96702,26.4429,49.5378,128.585,191.823,699.211,699.8,700.535,705.268,709.054
9,B1/u,3,415.321,2.01028,413,416.465,416.498,3,5.84626,3.6209,3.3562,4.18258,10,3,266.336,306.605,5.29758,189.731,603.98,3.43883,3.76939,4.18258,7.09129,9.41826,23.7409,97.5144,189.731,396.856,562.555,413.347,414.733,416.465,416.482,416.495
10,3LA(K),3,576.667,5.7735,570,580,580,3,7.99663,2.03467,5.93204,8.05784,10,3,54.0199,82.1435,1.61233,11.7574,148.69,6.14462,6.99494,8.05784,9.02892,9.80578,2.62683,6.68485,11.7574,80.2237,134.997,571,575,580,580,580
11,Si,3,520.731,0.640732,520.044,520.834,521.313,3,6.16941,1.8385,4.58571,5.73691,8.1856,3,757.627,296.217,454.303,772.394,1046.18,4.70083,5.16131,5.73691,6.96126,7.94073,486.112,613.349,772.394,909.289,1018.81,520.123,520.439,520.834,521.074,521.265
