x,y,E2g_position,E2g_fwhm,E2g_peak_height,E2g_peak_height_norm,A1g_position,A1g_fwhm,A1g_peak_height,A1g_peak_height_norm,A1g_E2g_separation,A1g_E2g_ratio,rmse,ok,n_starts,n_params_at_bounds
0,0,386.0,6.0,1.0610329539459689,0.2122065907891938,407.0,8.0,1.193662073189215,0.238732414637843,21.0,1.125,0.04,True,1,0
1,0,386.0,6.0,1.0610329539459689,0.2122065907891938,407.0,8.0,1.193662073189215,0.238732414637843,21.0,1.125,0.04,True,1,0
2,0,386.0,6.0,1.0610329539459689,0.2122065907891938,407.0,8.0,1.193662073189215,0.238732414637843,21.0,1.125,0.04,True,1,0
3,0,386.0,6.0,1.0610329539459689,0.2122065907891938,407.0,8.0,1.193662073189215,0.238732414637843,21.0,1.125,0.04,True,1,0
0,1,386.0,6.0,1.0610329539459689,0.2122065907891938,407.0,8.0,1.193662073189215,0.238732414637843,21.0,1.125,0.04,True,1,0
1,1,386.0,6.0,1.0610329539459689,0.2122065907891938,407.0,8.0,1.193662073189215,0.238732414637843,21.0,1.125,0.04,True,1,0
2,1,386.0,6.0,1.0610329539459689,0.2122065907891938,407.0,8.0,1.193662073189215,0.238732414637843,21.0,1.125,0.04,True,1,0
3,1,386.0,6.0,1.0610329539459689,0.2122065907891938,407.0,8.0,1.193662073189215,0.238732414637843,21.0,1.125,0.04,True,1,0
0,2,386.0,6.0,1.0610329539459689,0.2122065907891938,407.0,8.0,1.193662073189215,0.238732414637843,21.0,1.125,0.04,True,1,0
1,2,386.0,6.0,1.0610329539459689,0.2122065907891938,407.0,8.0,1.193662073189215,0.238732414637843,21.0,1.125,0.04,True,1,0
2,2,386.0,6.0,1.0610329539459689,0.2122065907891938,407.0,8.0,1.193662073189215,0.238732414637843,21.0,1.125,0.04,True,1,0
3,2,386.0,6.0,1.0610329539459689,0.2122065907891938,407.0,8.0,1.193662073189215,0.238732414637843,21.0,1.125,0.04,True,1,0
